Year,Name,Institution,URI
1964,Michael D. Hayward,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONdcf8ce99-b3cd-4497-992a-cfb10f382cd8
1964,P. F. Parker,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON2aad8054-f866-433d-a4c8-0301f1e3fc48
1964,John K. Jones,University of Reading,http://www.digitalhps.org/concepts/CONbe6c66f8-9f3b-4e09-84e1-5ebc57f36053
1964,Roy William Snaydon,University of Reading,http://www.digitalhps.org/concepts/CON2a9462bb-608f-4a64-9ae6-f8ebedbc018c
1964,M. Kootin-Sanwu,University of Oxford,http://www.digitalhps.org/concepts/CON1fbca1c2-1f43-4568-8c19-1a2514b4a886
1964,Stanley Reginald John Woodell,University of Oxford,http://www.digitalhps.org/concepts/CONd65a4af6-75f4-4dde-b019-69b5a4ab60d9
1964,David Moresby Moore,University of Leicester,http://www.digitalhps.org/concepts/CONccf6022a-7092-48f8-8dff-33628f9d8b11
1964,David J. Harberd,University of Leeds,http://www.digitalhps.org/concepts/CON56beedc2-570a-4da8-bd0c-801046efb849
1964,John Donald Lovis,University of Leeds,http://www.digitalhps.org/concepts/CON25b11aee-44af-4f11-87b9-3d5700addc6e
1964,Audrey Plack,University of Keele,http://www.digitalhps.org/concepts/CON277c68f0-822d-46b7-ad72-858c59d64666
1964,Margaret Elizabeth Bradshaw,University of Durham,http://www.digitalhps.org/concepts/CONe5b55803-1ef6-4abe-b81c-1493e97421df
1964,David J. Bellamy,University of Durham,http://www.digitalhps.org/concepts/CONde86bf5f-4324-440c-927b-5991e6b7b876
1964,Jack L. Crosby,University of Durham,http://www.digitalhps.org/concepts/CONf419c105-6598-4ff3-ad9b-daa09067251d
1964,John H. W. Holden,University of Durham,http://www.digitalhps.org/concepts/CON8c7c7607-c7b5-464d-ab9d-da6bc4bfab6a
1964,Ruth Ingram,University of Durham,http://www.digitalhps.org/concepts/CON4d06d320-2135-499a-b312-de80ff24d33d
1964,Peter Lees Pearson,University of Durham,http://www.digitalhps.org/concepts/CON3e5f110b-6b19-42d7-ab3c-7e0313db0000
1964,Vishnudeo Thakur,University of Durham,http://www.digitalhps.org/concepts/CON512b33ed-3e3e-4038-8abf-08d7071c2d90
1964,David Henriques Valentine,University of Durham,http://www.digitalhps.org/concepts/CON7df10a2a-37e7-4990-b5d9-0d316628d77d
1964,David A. Jones,University of Birmingham,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1964,Dennis A. Wilkins,University of Birmingham,http://www.digitalhps.org/concepts/CON78ddae16-d1a4-49c6-9331-1a75ebf292ec
1964,John L. Jinks,University of Birmingham,http://www.digitalhps.org/concepts/CON1f71db00-e50d-4507-9373-4cfdc0613490
1964,David A. Jones,University of Birmingham,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1964,Dennis A. Wilkins,University of Birmingham,http://www.digitalhps.org/concepts/CON78ddae16-d1a4-49c6-9331-1a75ebf292ec
1964,Patricia J. Boyle,"University College, Dublin",http://www.digitalhps.org/concepts/CON5dfe98dc-efec-45af-b015-838fa3e54c66
1964,Hugh Rees,"University of Wales, Aberystwyth",http://www.digitalhps.org/concepts/CON51a042d2-6f09-4435-96aa-5ae5309856e4
1964,John P. Savidge,"University of Wales, Aberystwyth",http://www.digitalhps.org/concepts/CONc4a1cee8-c649-4ef1-9f9b-45e744a224af
1964,Bernard John,"University of Wales, Cardiff",http://www.digitalhps.org/concepts/CONc0bb95ca-2ed4-4df2-9ceb-e9f8626b255d
1964,Janis Antonovics,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CON0105095b-fdd4-4bbe-b3bc-ff668d7c298f
1964,John L. Aston,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CON0dfbb01e-dffc-402a-89fd-1ca082036c40
1964,Glenys Kerr Crossley,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CON33bc3ca4-9f43-4348-a7ed-8efa1732dc15
1964,R. Peter G. Gregory,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/7c7d6680-6d68-4993-9c31-ecda2bbfc41a
1964,John Lander Harper,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CON64cec53e-eac9-4416-be2b-27d57b0e9f70
1964,Thomas S. McNeilly,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CONdecfc7fc-ede8-45e7-a3c5-134b3b9539cd
1964,John G. Pusey,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CON55bb9c0c-c25b-420e-b652-90da7d4c0250
1964,Anthony John Edwin (Tony) Smith,"University College of North Wales, Bangor",
1964,Erna Bennett,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON986c9afc-1fcb-45c1-ab3f-fa703a3ea24b
1964,James W. Gregor,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON6544887b-9452-4b67-8148-fb4429ca9b54
1964,Ian H. McNaughton,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON2239666b-5b52-4097-b1c5-1720e29f7bfb
