Year,Name,Institution,URI
1973,Denis Ratcliffe,University of Leicester,http://www.digitalhps.org/concepts/CON7354c825-3808-4c73-bda3-113253607284
1973,P. F. Parker,University of Leicester,http://www.digitalhps.org/concepts/CON2aad8054-f866-433d-a4c8-0301f1e3fc48
1973,Patrick John Brownsey,University of Leeds,http://www.digitalhps.org/concepts/CONabf1a831-a7a4-462d-b837-195c5aa161d5
1973,David A. Jones,University of Birmingham,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1973,Michael J. Lawrence,University of Birmingham,http://www.digitalhps.org/concepts/CONc9dc3751-51a4-4eaf-801d-5d4e78f79c59
1973,Jeffery S. Gale,University of Birmingham,
1973,M. G. Cahn,"University College of North Wales, Bangor",
1973,C. P. Carroll,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON78e48ebc-6fc8-4b2f-9223-140fa61bd441
1973,Richard J. Abbott,Saint Andrews University,http://www.digitalhps.org/concepts/CONe416f4ab-b2ab-4f95-8067-b8098120edfa
1973,Chris Willcock,Royal Holloway College,
1973,Keith Jones,"Royal Botanical Gardens, Kew",http://www.digitalhps.org/concepts/CON61bec15b-5bdc-4395-86ce-ec2d1cf72d49
1973,Robert S. Callow,Queen Mary College,http://www.digitalhps.org/concepts/CONd4ff6817-c6b3-4375-8f84-0411c9768d22
1973,John S. Parker,Queen Mary College,
1973,Gwynfryn Ellis Marks,John Innes Institute,http://www.digitalhps.org/concepts/CONe2ce3221-e2f2-47fe-8922-c3a5956c1176
1973,Dunkery Hugh Dalby,Imperial College of London,http://www.digitalhps.org/concepts/CONdc263f80-7e2f-4a25-856b-1abe1a117d8f
1973,Alan J. M. Baker,Imperial College of London,http://www.digitalhps.org/concepts/CONc93d53ab-1cd1-4e3f-ac8c-e8f642dd0822
1973,Brian D. Morley,Dublin,http://www.digitalhps.org/concepts/CON1ea44363-6aac-428a-94bb-c81491bff9cf
1974,Brian G. Murray,Westfield College,http://www.digitalhps.org/concepts/CON483e88e1-7fe8-49d4-9863-1977a5c9d247
1974,Timothy J. Flowers,University of Sussex,http://www.digitalhps.org/concepts/CON31d1e857-0036-4806-8516-e99f26fe0a58
1974,Adam Dale,University of Sheffield,http://www.digitalhps.org/concepts/CONe64a3961-de78-47a5-8199-5e71ad2aa381
1974,T. M. Davies,University of Reading,
1974,Stanley Reginald John Woodell,University of Oxford,http://www.digitalhps.org/concepts/CONd65a4af6-75f4-4dde-b019-69b5a4ab60d9
1974,Neil David Mitchell,University of Newcastle-upon-Tyne,http://www.digitalhps.org/concepts/CONa486d182-08de-49be-9724-8ac73b0e8fcc
1974,A. John Richards,University of Newcastle-upon-Tyne,http://www.digitalhps.org/concepts/CONaf7e9dcc-f94a-4cf8-b125-fdfd94c8d8fc
1974,John A. Lee,University of Manchester,http://www.digitalhps.org/concepts/CON78e60871-50df-4ed7-a98d-89b0fca91037
1974,George R. Stewart,University of Manchester,
1974,Clive A. Stace,University of Manchester,http://www.digitalhps.org/concepts/CON1fbb077b-e7da-4a7a-9321-aa2473e3cfe1
1974,David Henriques Valentine,University of Manchester,http://www.digitalhps.org/concepts/CON7df10a2a-37e7-4990-b5d9-0d316628d77d
1974,Anthony David Bradshaw,University of Liverpool,http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1974,Phil D. Putwain,University of Liverpool,http://www.digitalhps.org/concepts/CONa9afce02-0c2d-4305-acbf-17493664d29d
1974,Richard Law,University of Liverpool,http://www.digitalhps.org/concepts/CONe09b801c-faf4-46b7-b944-071489991ccc
1974,Denis W. Gartside,University of Hull,
1974,Robert L. Jefferies,John Innes Institute,http://www.digitalhps.org/concepts/CONf2d6bc98-b1ac-4ff2-a799-9a418255d122
1974,Alan John Gray,John Innes Institute,http://www.digitalhps.org/concepts/CON757d0e25-4cf2-4b19-b1f5-8aaa623cf3fc
1974,Dunkery Hugh Dalby,Imperial College of London,http://www.digitalhps.org/concepts/CONdc263f80-7e2f-4a25-856b-1abe1a117d8f
1975,Michael T. Horne,University of Stirling,
1975,S. U. Remison,University of Reading,
1975,Roy William Snaydon,University of Reading,http://www.digitalhps.org/concepts/CON2a9462bb-608f-4a64-9ae6-f8ebedbc018c
1975,Stanley Reginald John Woodell,University of Oxford,http://www.digitalhps.org/concepts/CONd65a4af6-75f4-4dde-b019-69b5a4ab60d9
1975,David T. Parkin,University of Nottingham,
1975,Owen Tudor,University of Nottingham,
1975,Richard Scott,University of Norwich,http://www.digitalhps.org/concepts/CONfe924891-9b30-489f-b3e4-ffe4cb9bdf45
1975,Neil David Mitchell,University of Newcastle-upon-Tyne,http://www.digitalhps.org/concepts/CONa486d182-08de-49be-9724-8ac73b0e8fcc
1975,A. John Richards,University of Newcastle-upon-Tyne,http://www.digitalhps.org/concepts/CONaf7e9dcc-f94a-4cf8-b125-fdfd94c8d8fc
1975,Robert S. Callow,University of Manchester,http://www.digitalhps.org/concepts/CONd4ff6817-c6b3-4375-8f84-0411c9768d22
1975,R. J. Keymer,University of Hull,
1975,W. M. Ellis,University of Hull,
1975,David A. Jones,University of Hull,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1975,Jeremy John Denis Greenwood,University of Dundee,http://www.digitalhps.org/concepts/CONc1a9bc34-ed81-49f6-a96a-903d6b9665e7
1975,K. Moon,University of Dundee,
1975,Robert Andrew Duncan Cameron,University of Dundee,http://www.digitalhps.org/concepts/CONb56060e4-5d49-4f51-ba28-769476b2fd8e
1975,John M. Campbell,University of Birmingham,http://www.digitalhps.org/concepts/CON1174f21a-01fb-4e48-bb34-53a6c97e0169
1975,E. Robert Creed,"University of Wales, Cardiff",
1975,David R. Lees,"University of Wales, Cardiff",http://www.digitalhps.org/concepts/CON45841d8e-d1f7-4960-a984-c16cf282cc3c
1975,Richard J. Abbott,Saint Andrews University,http://www.digitalhps.org/concepts/CONe416f4ab-b2ab-4f95-8067-b8098120edfa
1975,Keith Jones,"Royal Botanical Gardens, Kew",http://www.digitalhps.org/concepts/CON61bec15b-5bdc-4395-86ce-ec2d1cf72d49
1975,John S. Parker,Queen Mary College,
1975,Susan M. Bougourd,Queen Mary College,http://www.digitalhps.org/concepts/CON53deae4e-20b9-4ffa-8ad7-cdd6f4875b32
1975,Gwynfryn Ellis Marks,John Innes Institute,http://www.digitalhps.org/concepts/CONe2ce3221-e2f2-47fe-8922-c3a5956c1176
1975,Richard I. Vane-Wright,British Museum,http://www.digitalhps.org/concepts/CON06ebc8a0-6888-473d-9fed-e2fd1162f8c0
1975,Pieter Kakes,University of Amsterdam,
1976,D. C. B. Nokes,Wolverhampton Polytechnic,
1976,A. Cobon,Westfield College,http://www.digitalhps.org/concepts/CON9f75b813-69e2-438b-96a6-46423dd2af18
1976,B. F. Tyler,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON50f8c8b0-fde7-4bca-8801-b3b3c92d9f00
1976,K. Chorlton,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa71ff78b-4e9a-4b35-8345-8ba36be8d1e6
1976,Peter Crisp,University of Wellesbourne,http://www.digitalhps.org/concepts/CON8507f9c0-2ac0-4070-b03d-bbb4eec7c351
1976,Peter Hull,University of Strathclyde,http://www.digitalhps.org/concepts/CON6b8786b4-53b1-4c8d-89c3-1339ae660817
1976,Alan John Gray,University of Norwich,http://www.digitalhps.org/concepts/CON757d0e25-4cf2-4b19-b1f5-8aaa623cf3fc
1976,Anthony David Bradshaw,University of Liverpool,http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1976,M. McNair,University of Liverpool,
1976,C. Gillham,University of Liverpool,
1976,David A. Jones,University of Hull,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1976,R. Keymer,University of Hull,
1976,W. M. Ellis,University of Hull,
1976,G. G. Nicholson,University of Hull,
1976,L. D. Gottlieb,UC Davis,http://www.digitalhps.org/concepts/CONeb75c5e2-aef4-41b7-923e-078a2c5e7a4f
1976,Susan M. Bougourd,Queen Mary College,http://www.digitalhps.org/concepts/CON53deae4e-20b9-4ffa-8ad7-cdd6f4875b32
1976,John S. Parker,Queen Mary College,
1976,D. O. Wijnands,Amsterdam,http://www.digitalhps.org/concepts/CONbabddeb8-95e8-45be-9fc9-7d1ea830a933
1977,B. G. Murray,Westfield College,http://www.digitalhps.org/concepts/CON483e88e1-7fe8-49d4-9863-1977a5c9d247
1977,Susan M. Bougourd,University of York,http://www.digitalhps.org/concepts/CON53deae4e-20b9-4ffa-8ad7-cdd6f4875b32
1977,Gillian M. Fearn,University of Sheffield,http://www.digitalhps.org/concepts/CON3fbd251b-83a5-4f40-879c-7afcaffa34eb
1977,H. P. Charles,University of Reading,
1977,F. Richardson,University of Reading,
1977,Wilma George,University of Oxford,
1977,O. Mattsson,University of Oxford,
1977,Marianne Philipp,University of Oxford,
1977,Stanley Reginald John Woodell,University of Oxford,http://www.digitalhps.org/concepts/CONd65a4af6-75f4-4dde-b019-69b5a4ab60d9
1977,K. R. Lewis,University of Oxford,http://www.digitalhps.org/concepts/CON1e219c7f-1617-4b16-b7f3-ffab46c442f8
1977,M. K. Nicholls,University of Liverpool,
1977,R. D. Tanner,University of Liverpool,
1977,J. T. Greaves,University of Liverpool,
1977,Angela Harrison,University of Liverpool,
1977,R. Frankham,University of Edinburgh,http://www.digitalhps.org/concepts/CONc5816321-351f-4791-ab11-b1b5d2128f2f
1977,D. A. Briscoe,University of Edinburgh,http://www.digitalhps.org/concepts/CONe0fd01f4-3a70-429b-9419-c98a6b13507f
1977,T. W. Böcher,University of Copenhagen,http://www.digitalhps.org/concepts/CONb95155b5-9270-4485-9ac4-6f712e0d3d67
1977,J. Böcher,University of Copenhagen,
1977,Suzanne Warwick,University of Cambridge,http://www.digitalhps.org/concepts/CON6ab7c423-33fc-4e98-94c6-0aa20816abcc
1977,June New,University of Cambridge,
1977,C. C. Wilcock,University of Aberdeen,
1977,Michael D. Hayward,"University of Wales, Aberystwyth",http://www.digitalhps.org/concepts/CONdcf8ce99-b3cd-4497-992a-cfb10f382cd8
1977,N. J. McAdam,"University of Wales, Aberystwyth",
1977,T. Balls,"University of Wales, Aberystwyth",
1977,John S. Parker,Queen Mary College,
1977,Charles C. Ainsworth,Queen Mary College,
1977,J. K. Burras,Oxford Botanic Garden,http://www.digitalhps.org/concepts/CON6b756d15-ca7a-43c5-8b62-6dd9588b9ac1
1977,Richard Scott,I. T. E. Norwich,http://www.digitalhps.org/concepts/CONfe924891-9b30-489f-b3e4-ffe4cb9bdf45
1977,J. Angeesing,Cheltenham,
1977,M. A. Saunders,Cheltenham,
1978,V. K. Sieber,Westfield College,http://www.digitalhps.org/concepts/CON3b0ce734-ac54-415b-9c3c-6eda800e3338
1978,Mervyn O. Humphreys,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON7b39b55a-8d53-4d06-bb86-ff9c542930f8
1978,Susan M. Bougourd,University of York,http://www.digitalhps.org/concepts/CON53deae4e-20b9-4ffa-8ad7-cdd6f4875b32
1978,Terry J. Crawford,University of York,http://www.digitalhps.org/concepts/CONdf4fef23-1bcd-4470-9f42-540c7d25335d
1978,S. P. McGrath,University of Sheffield,http://www.digitalhps.org/concepts/CONaa2e1240-d5e4-4ecc-b1c6-53c3e43eafd6
1978,M. Richardson,University of Reading,
1978,M. K. Nicholls,University of Liverpool,
1978,Thomas S. McNeilly,University of Liverpool,http://www.digitalhps.org/concepts/CONdecfc7fc-ede8-45e7-a3c5-134b3b9539cd
1978,C. Bowker,University of Leicester,
1978,David A. Jones,University of Hull,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1978,A. D. Romnani,University of Hull,
1978,John R. Akeroyd,University of Cambridge,http://www.digitalhps.org/concepts/CON545da90a-75bd-4d7d-b2a0-fc8d28629685
1978,Quentin Oliver Newton Kay,"University of Wales, Swansea",http://www.digitalhps.org/concepts/CON8b26af78-426c-4c01-bb1d-b6eba1ccbac4
1978,Richard J. Abbott,Saint Andrews University,http://www.digitalhps.org/concepts/CONe416f4ab-b2ab-4f95-8067-b8098120edfa
1978,Ruth Ingram,Saint Andrews University,
1978,A. Kenton,"Royal Botanical Gardens, Kew",
1978,Sandra M. Thomas,"Royal Botanical Gardens, Kew",
1978,S. Martyr,[unknown],
1979,Terry J. Crawford,University of York,http://www.digitalhps.org/concepts/CONdf4fef23-1bcd-4470-9f42-540c7d25335d
1979,T. J. Flowers,University of Sussex,http://www.digitalhps.org/concepts/CON31d1e857-0036-4806-8516-e99f26fe0a58
1979,A. R. Yeo,University of Sussex,
1979,C. E. Jarvis,University of Reading,http://www.digitalhps.org/concepts/CONda9c8e56-d7cb-4f14-b493-6fbcbf698afe
1979,Robert S. Callow,University of Manchester,http://www.digitalhps.org/concepts/CONd4ff6817-c6b3-4375-8f84-0411c9768d22
1979,C. Ingram,University of Liverpool,
1979,Thomas S. McNeilly,University of Liverpool,http://www.digitalhps.org/concepts/CONdecfc7fc-ede8-45e7-a3c5-134b3b9539cd
1979,Anthony David Bradshaw,University of Liverpool,http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1979,M. K. Nicholls,University of Liverpool,
1979,D. O. Gibson,University of Liverpool,http://www.digitalhps.org/concepts/CONf14ab799-4d67-4d51-bc89-d3350e1590c4
1979,S. R. Sykes,University of Liverpool,
1979,E. M. M. Paul,University of Leicester,http://www.digitalhps.org/concepts/CONf9662e98-3be6-424f-a23e-0d1f70e9e89b
1979,Andrew Lack,University of Cambridge,http://www.digitalhps.org/concepts/CONb2339698-d618-4f02-bab7-5301ae2e3fd1
1979,C. M. Lovatt,University of Bristol,
1979,L. C. Frost,University of Bristol,http://www.digitalhps.org/concepts/CON038da44f-2a5e-4954-8b07-7e8accced2d4
1979,S. T. Humphreys,University of Bristol,http://www.digitalhps.org/concepts/CON7b39b55a-8d53-4d06-bb86-ff9c542930f8
1979,S. W. Shales,University of Bristol,
1979,P. J. Coughtrey,University of Bristol,http://www.digitalhps.org/concepts/CON988e26a7-a893-4623-b071-8ba35e70d636
1979,H. Wigham,University of Bristol,
1979,M. H. Martin,University of Bristol,
1979,N. Deeley,University of Birmingham,
1979,C. Garland,University of Birmingham,http://www.digitalhps.org/concepts/CON785b4c8e-f193-41ba-99d9-e31dae6da54e
1979,Peter Hull,Strathclyde,http://www.digitalhps.org/concepts/CON6b8786b4-53b1-4c8d-89c3-1339ae660817
1979,Charles C. Ainsworth,Queen Mary College,
1979,M. A. F. Whitehorn,Queen Mary College,
1979,B. H. Dommee,Montpellier,
1979,Pieter Kakes,Amsterdam,
1979,L. C. Frost,,http://www.digitalhps.org/concepts/CON038da44f-2a5e-4954-8b07-7e8accced2d4
1979,C. M. Lovatt,,
1980,Mervyn O. Humphreys,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON7b39b55a-8d53-4d06-bb86-ff9c542930f8
1980,Susan M. Smith,University of York,
1980,Alastair H. Fitter,University of York,http://www.digitalhps.org/concepts/CON0f188e5a-8b6d-4ba1-b02f-6295f9265b4a
1980,Mike Horne,University of Stirling,
1980,Henry A. Ford,University of Newcastle-upon-Tyne,
1980,Phil D. Putwain,University of Liverpool,http://www.digitalhps.org/concepts/CONa9afce02-0c2d-4305-acbf-17493664d29d
1980,K. R. Scott,University of Liverpool,
1980,Thomas S. McNeilly,University of Liverpool,http://www.digitalhps.org/concepts/CONdecfc7fc-ede8-45e7-a3c5-134b3b9539cd
1980,Martin Ingrouille,University of Leicester,http://www.digitalhps.org/concepts/CONe4e62173-391c-4e89-8938-039e3f09f380
1980,David J. Harberd,University of Leeds,http://www.digitalhps.org/concepts/CON56beedc2-570a-4da8-bd0c-801046efb849
1980,David A. Jones,University of Hull,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1980,Mark Macnair,University of Exeter,
1980,N. R. Sackville Hamilton,University of Cambridge,
1980,Barbara Giles,University of Cambridge,
1980,A. Joe Pollard,University of Cambridge,http://www.digitalhps.org/concepts/CON3e3eac2a-f00e-4de0-91c6-43543842196e
1980,Quentin Oliver Newton Kay,"University of Wales, Swansea",http://www.digitalhps.org/concepts/CON8b26af78-426c-4c01-bb1d-b6eba1ccbac4
1980,Ruth Ingram,Saint Andrews University,
1980,Charles C. Ainsworth,Queen Mary College,
1980,Lorna A. Matcher,Queen Mary College,
1980,Alan John Gray,I. T. E. Furzebrook,http://www.digitalhps.org/concepts/CON757d0e25-4cf2-4b19-b1f5-8aaa623cf3fc
1981,Martin Borrill,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa8e1df92-34a8-42c6-a56d-b0fb010184ce
1981,Edward Leslie Breese,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONada70e6d-5ed6-45e6-b2d6-1928fd1b798b
1981,Allen H. Charles,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONb3cfa5ea-1e67-4f82-8730-a26825601a6a
1981,K. Chorlton,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa71ff78b-4e9a-4b35-8345-8ba36be8d1e6
1981,Michael D. Hayward,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONdcf8ce99-b3cd-4497-992a-cfb10f382cd8
1981,Mervyn O. Humphreys,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON7b39b55a-8d53-4d06-bb86-ff9c542930f8
1981,Peter K. Jones,Welsh Plant Breeding Station,
1981,H. Thomas,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONbe15e91d-2e5d-4f87-a8a5-3ebd04e0d9c3
1981,B. F. Tyler,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON50f8c8b0-fde7-4bca-8801-b3b3c92d9f00
1981,Eirene Williams,"Washington Singer Labs, Exeter",
1981,Susan M. Bougourd,University of York,http://www.digitalhps.org/concepts/CON53deae4e-20b9-4ffa-8ad7-cdd6f4875b32
1981,Terry J. Crawford,University of York,http://www.digitalhps.org/concepts/CONdf4fef23-1bcd-4470-9f42-540c7d25335d
1981,Deborah Holmes,University of York,
1981,T. J. Flowers,University of Sussex,http://www.digitalhps.org/concepts/CON31d1e857-0036-4806-8516-e99f26fe0a58
1981,A. R. Yeo,University of Sussex,
1981,Joanna R. Rihan,University of Southampton,
1981,C. P. Harding,University of Sheffield,
1981,L. K. Crowe,University of Reading,
1981,Stanley Reginald John Woodell,University of Oxford,http://www.digitalhps.org/concepts/CONd65a4af6-75f4-4dde-b019-69b5a4ab60d9
1981,Richard A. Ennos,University of Newcastle-upon-Tyne,
1981,A. D. Ford,University of Newcastle-upon-Tyne,
1981,Henry A. Ford,University of Newcastle-upon-Tyne,
1981,Patricia Jane Hill,University of Newcastle-upon-Tyne,
1981,Michael Mogie,University of Newcastle-upon-Tyne,http://www.digitalhps.org/concepts/CON7cc32355-5a06-45a3-b19f-c44a328d2075
1981,A. John Richards,University of Newcastle-upon-Tyne,http://www.digitalhps.org/concepts/CONaf7e9dcc-f94a-4cf8-b125-fdfd94c8d8fc
1981,N. Scott,University of Newcastle-upon-Tyne,
1981,David P. Stevens,University of Newcastle-upon-Tyne,http://www.digitalhps.org/concepts/CON9d6c196c-9a4b-4b1d-bbd0-e4af581994f1
1981,Robert S. Callow,University of Manchester,http://www.digitalhps.org/concepts/CONd4ff6817-c6b3-4375-8f84-0411c9768d22
1981,Christine Cahalan,University of Manchester,
1981,Sarah P. Wall,University of Manchester,
1981,Anthony David Bradshaw,University of Liverpool,http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1981,Hilary Gray,University of Liverpool,
1981,D. J. McMahon,University of Liverpool,
1981,Thomas S. McNeilly,University of Liverpool,http://www.digitalhps.org/concepts/CONdecfc7fc-ede8-45e7-a3c5-134b3b9539cd
1981,Muhammad Munir,University of Liverpool,
1981,Mikeal L. Roose,University of Liverpool,http://www.digitalhps.org/concepts/CON96ecac7a-caf5-4f71-a983-5f3ed5d5d610
1981,K. R. Scott,University of Liverpool,
1981,J. Thompson,University of Liverpool,http://www.digitalhps.org/concepts/CON31c40e14-cad3-40fa-b35b-903496dfb838
1981,David Weir,University of Liverpool,
1981,A. M. Mortimer,University of Liverpool,http://www.digitalhps.org/concepts/CON3ffc8700-2caf-4571-a22a-1822ca52480e
1981,Stuart Cunningham,University of Leicester,
1981,Richard Gornall,University of Leicester,
1981,Martin Ingrouille,University of Leicester,http://www.digitalhps.org/concepts/CONe4e62173-391c-4e89-8938-039e3f09f380
1981,MirAjab Khan,University of Leicester,
1981,Teresa L. Woodings,University of Leicester,
1981,David J. Harberd,University of Leeds,http://www.digitalhps.org/concepts/CON56beedc2-570a-4da8-bd0c-801046efb849
1981,M. J. Nicholls,University of Leeds,
1981,Keith M. Goodway,University of Keele,http://www.digitalhps.org/concepts/CON54d3a391-5bac-48d7-94e4-74d9091684e0
1981,Stephen Compton,University of Hull,
1981,David A. Jones,University of Hull,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1981,Mark Macnair,University of Exeter,
1981,Stephen Rothera,University of East Anglia,
1981,John A. Barrett,University of Cambridge,
1981,Kenneth John Richard Edwards,University of Cambridge,http://www.digitalhps.org/concepts/CONdea4f0fc-9205-4b85-bbf3-85b8fedc70f9
1981,Barbara Giles,University of Cambridge,
1981,N. Harberd,University of Cambridge,
1981,D. Luckett,University of Cambridge,
1981,A. Joe Pollard,University of Cambridge,http://www.digitalhps.org/concepts/CON3e3eac2a-f00e-4de0-91c6-43543842196e
1981,C. J. Grant,University of Bristol,
1981,J. W. Scott,University of Bristol,
1981,J. S. Gale,University of Birmingham,
1981,Mike Lawrence,University of Birmingham,http://www.digitalhps.org/concepts/CONc9dc3751-51a4-4eaf-801d-5d4e78f79c59
1981,Dennis A. Wilkins,University of Birmingham,http://www.digitalhps.org/concepts/CON78ddae16-d1a4-49c6-9331-1a75ebf292ec
1981,M. A. Cornish,University of Bath,
1981,T. Gerats,University of Amsterdam,
1981,Pieter Kakes,University of Amsterdam,
1981,M. S. Davies,"University of Wales, Cardiff",
1981,Deborah Judd,"University of Wales, Cardiff",
1981,McCain,"University of Wales, Cardiff",
1981,A. Durrant,"University of Wales, Aberystwyth",http://www.digitalhps.org/concepts/CON5562754a-9e89-4ec0-b26b-9e8b3dab96d2
1981,D. Gareth Jones,"University of Wales, Aberystwyth",
1981,R. N. Jones,"University of Wales, Aberystwyth",http://www.digitalhps.org/concepts/CON90d83e61-2f34-4212-89b4-be192fb42df2
1981,Steven Jones,"University of Wales, Aberystwyth",
1981,David F. Marshall,"University of Wales, Aberystwyth",
1981,Susan J. Morley,"University of Wales, Aberystwyth",http://www.digitalhps.org/concepts/WID-11191251-N-01-Morley
1981,Hugh Rees,"University of Wales, Aberystwyth",http://www.digitalhps.org/concepts/CON51a042d2-6f09-4435-96aa-5ae5309856e4
1981,J. F. Y. Brookfield,"University of Wales, Swansea",
1981,Chris Gliddon,"University College of North Wales, Bangor",
1981,Glenn Matlack,"University College of North Wales, Bangor",
1981,Phil Trathan,"University College of North Wales, Bangor",
1981,J. Pelham,"Unit of Tree Biology, Penicuik",
1981,John R. Akeroyd,Trinity College,http://www.digitalhps.org/concepts/CON545da90a-75bd-4d7d-b2a0-fc8d28629685
1981,Y. Nicholls,"Trinity and All Saints Colleges, Leeds",
1981,Peter Hull,Strathclyde,http://www.digitalhps.org/concepts/CON6b8786b4-53b1-4c8d-89c3-1339ae660817
1981,Gillian M. Fearn,Sheffield City Polytechnic,http://www.digitalhps.org/concepts/CON3fbd251b-83a5-4f40-879c-7afcaffa34eb
1981,Richard J. Abbott,Saint Andrews University,http://www.digitalhps.org/concepts/CONe416f4ab-b2ab-4f95-8067-b8098120edfa
1981,Ruth Ingram,Saint Andrews University,
1981,R. M. Harley,"Royal Botanical Gardens, Kew",http://www.digitalhps.org/concepts/CON8464cdf0-e132-41e0-a22c-78f4563f2d3a
1981,Keith Jones,"Royal Botanical Gardens, Kew",http://www.digitalhps.org/concepts/CON61bec15b-5bdc-4395-86ce-ec2d1cf72d49
1981,Steve Taylor,Queen Mary College,
1981,Jonathan Silvertown,"Open University, Milton Keynes",
1981,Peter Crisp,National Vegetable Research Station,http://www.digitalhps.org/concepts/CON8507f9c0-2ac0-4070-b03d-bbb4eec7c351
1981,E. M. M. Paul,National Vegetable Research Station,http://www.digitalhps.org/concepts/CONf9662e98-3be6-424f-a23e-0d1f70e9e89b
1981,Bertrand Dommée,Montpellier,
1981,Cepe L. Emberger,Montpellier,
1981,G. E. Markes,John Innes Institute,
1981,J. Gasquez,"INRA, Dijon",
1981,Gene Wilson,"Imperial College Field Station, Ascot",
1981,Richard Scott,I. T. E. Cumbria,http://www.digitalhps.org/concepts/CONfe924891-9b30-489f-b3e4-ffe4cb9bdf45
1981,A. Schram,"Genetuch Institut, Amsterdam",
1981,Helen Bates,"Furzebrook Research Station, Dorset",
1981,Alan John Gray,"Furzebrook Research Station, Dorset",http://www.digitalhps.org/concepts/CON757d0e25-4cf2-4b19-b1f5-8aaa623cf3fc
1981,David Henriques Valentine,"Didsbury, Manchester",http://www.digitalhps.org/concepts/CON7df10a2a-37e7-4990-b5d9-0d316628d77d
1981,Susan M. James,"Dale Fort Field Centre, Haverfordwest",
1981,Caroline Pannell,"Commonwealth Forestry Institute, Oxford",
1981,H. Darmency,Centre de Recherches de Dijon,http://www.digitalhps.org/concepts/CONb7cfcafb-683e-4f77-b5bc-3dae2ea438bb
1981,S. J. Farrow,"Caerdeon Hall, Barmouth",
1981,Mary Gibby,British Museum,http://www.digitalhps.org/concepts/CON6b8786b4-53b1-4c8d-89c3-1339ae660817
1982,M. D. Atkinson,University of Wolverhampton,
1982,Peter Crisp,University of Wellesbourne,http://www.digitalhps.org/concepts/CON8507f9c0-2ac0-4070-b03d-bbb4eec7c351
1982,Honor C. Prentice,University of Southampton,
1982,Richard A. Ennos,University of Newcastle-upon-Tyne,
1982,Henry A. Ford,University of Newcastle-upon-Tyne,
1982,Mike Mogie,University of Newcastle-upon-Tyne,http://www.digitalhps.org/concepts/CON7cc32355-5a06-45a3-b19f-c44a328d2075
1982,Robert S. Callow,University of Manchester,http://www.digitalhps.org/concepts/CONd4ff6817-c6b3-4375-8f84-0411c9768d22
1982,Mikeal L. Roose,University of Liverpool,http://www.digitalhps.org/concepts/CON96ecac7a-caf5-4f71-a983-5f3ed5d5d610
1982,John A. Barrett,University of Liverpool,
1982,Stuart Cunningham,University of Leicester,
1982,M. K. Nicholls,University of Leeds,
1982,Stephen Compton,University of Hull,
1982,David A. Jones,University of Hull,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1982,A. J. D. Watkins,University of Exeter,
1982,G. N. D. Williams,University of Exeter,
1982,Mark Macnair,University of Exeter,
1982,Mervyn O. Humphreys,"University of Wales, Aberystwyth",http://www.digitalhps.org/concepts/CON7b39b55a-8d53-4d06-bb86-ff9c542930f8
1982,Phil Trathan,"University College of North Wales, Bangor",
1982,M. S. Wolfe,Plant Breeding Institute,http://www.digitalhps.org/concepts/CON81c5e372-ce26-4ee7-aa44-6819d8650991
1982,K. M. Chin,Plant Breeding Institute,
1982,Barbara Giles,Ottowa,
1983,Allen H. Charles,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONb3cfa5ea-1e67-4f82-8730-a26825601a6a
1983,Mervyn O. Humphreys,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON7b39b55a-8d53-4d06-bb86-ff9c542930f8
1983,B. F. Tyler,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON50f8c8b0-fde7-4bca-8801-b3b3c92d9f00
